country,year,Greenhouse,GDP.PCAP,GDP.PCAP.PP,GDP.PCAP.GRO,RD,FossilFuel,IndustryValueAdded,CO2E.PC,Government,Exports,Imports,Renewables,RenewablesLessHydro,Population,env_tax
Norway,2009,65840.66,88174.16,62617.15,-2.96,1.72,63.11,34.3,11.46,21.6,39.24,27.82,56.77,0.92,4828726,6.38
Norway,2008,71002.76,90862.4,64526.22,-0.77,1.55,61.67,40.29,11.68,18.51,45.92,28.97,58.49,0.93,4768212,6.28
Norway,2007,72404.47,91565.73,65025.69,1.93,1.56,56.19,37.18,9.57,18.73,43.3,29.89,57.39,0.94,4709153,6.77
Norway,2006,71355.5,89828.43,63791.94,1.58,1.46,56.69,39.66,9.5,18.64,44.64,27.71,57.06,0.84,4660677,6.72
Norway,2005,71578.06,88432.62,62800.7,1.93,1.48,54.98,37.97,9.18,19.44,43.4,27.41,58.59,0.61,4623291,6.84
Norway,2004,73534.99,86759.14,61612.28,3.36,1.55,55.89,35.0,9.29,20.8,41.09,27.92,56.87,0.55,4591910,7.31
Norway,2003,73172.63,83941.37,59611.22,0.32,1.68,58.89,33.39,9.91,21.99,39.63,26.92,56.26,0.51,4564855,7.56
Norway,2002,69689.53,83673.64,59421.09,0.9,1.63,53.53,33.23,8.38,21.67,40.37,27.24,59.49,0.25,4538159,7.56
Norway,2001,71491.23,82926.77,58890.7,1.56,1.56,55.66,35.21,9.28,20.06,44.96,28.32,59.61,0.23,4513751,7.37
Norway,2000,71217.9,81653.34,57986.38,2.54,,54.34,36.49,8.83,18.89,45.73,28.92,60.19,0.2,4490967,7.4
Poland,2017,,15845.25,27378.89,4.92,1.03,,28.93,,17.69,54.35,50.17,,,37974826,7.86
Poland,2016,,15101.56,26093.88,3.11,0.96,,29.57,,17.9,52.19,48.16,,,37970087,8.13
Poland,2015,,14646.32,25307.28,3.91,1.0,90.29,30.25,,18.04,49.5,46.4,11.91,12.69,37986412,8.18
Poland,2014,,14095.43,24355.4,3.4,0.94,90.09,29.43,7.52,18.18,47.57,46.13,11.57,11.14,38011735,8.07
Poland,2013,,13632.5,23555.5,1.45,0.87,91.15,28.62,7.95,18.13,46.32,44.37,11.41,8.92,38040196,7.57
Poland,2012,414606.89,13437.24,23218.11,1.61,0.88,90.98,29.74,7.88,17.93,44.44,44.88,10.92,9.18,38063164,8.07
Poland,2011,422791.47,13224.57,22850.64,4.96,0.75,92.12,29.83,8.33,18.05,42.56,44.52,10.44,6.62,38063255,8.29
Poland,2010,426485.87,12599.53,21770.64,3.9,0.72,92.45,29.18,8.31,19.12,40.06,42.05,9.49,5.07,38042794,8.68
Poland,2009,405421.16,12126.22,20952.8,2.75,0.66,93.15,29.81,7.8,18.71,37.18,38.04,8.84,4.17,38151603,8.05
Poland,2008,420981.53,11801.6,20391.9,4.24,0.6,94.11,29.11,8.26,18.6,37.86,42.9,8.01,2.88,38125759,7.74
Poland,2007,421174.65,11322.07,19563.32,7.09,0.56,95.21,28.97,8.24,18.11,38.56,42.1,7.28,1.94,38120560,7.9
Poland,2006,423290.67,10572.18,18267.6,6.25,0.55,95.82,29.03,8.36,18.48,37.86,39.93,7.18,1.4,38141267,7.89
Poland,2005,411811.67,9950.58,17193.53,3.54,0.56,95.99,28.83,7.93,18.3,34.61,35.67,7.21,1.06,38165445,8.11
Poland,2004,411840.44,9610.45,16605.82,5.2,0.55,95.98,28.97,7.97,18.28,34.26,36.95,7.31,0.74,38182222,8.54
Poland,2003,387619.14,9135.65,15785.43,3.63,0.54,96.25,27.52,7.91,18.9,33.39,36.05,7.29,0.39,38204570,7.72
Poland,2002,375643.18,8815.44,15232.14,2.09,0.56,95.87,26.72,7.71,18.63,28.76,32.17,7.49,0.34,38230364,7.46
Poland,2001,385653.89,8635.06,14920.47,1.28,0.62,95.98,27.48,7.88,18.66,27.23,30.85,7.29,0.32,38248076,6.59
Poland,2000,392642.04,8526.28,14732.49,5.66,0.64,96.22,28.88,7.82,18.08,27.23,33.56,6.93,0.16,38258629,6.52
Portugal,2017,,23380.69,28257.34,3.76,1.32,,19.12,,17.18,42.72,41.71,,,10300300,7.56
Portugal,2016,,22533.63,27233.61,2.34,1.28,,19.33,,17.59,40.21,39.06,,,10325452,7.59
Portugal,2015,,22018.01,26610.44,2.21,1.24,77.02,19.46,,17.85,40.62,39.88,27.16,30.64,10358076,7.03
Portugal,2014,,21540.99,26033.92,1.34,1.29,72.81,18.94,4.33,18.4,40.22,40.07,30.46,30.78,10401062,6.65
Portugal,2013,,21256.76,25690.41,-0.38,1.33,73.35,18.87,4.34,18.85,39.61,38.51,30.17,31.15,10457295,6.49
Portugal,2012,72524.22,21337.29,25787.73,-3.67,1.38,75.81,19.11,4.38,18.34,37.78,38.27,25.52,30.16,10514844,6.91
Portugal,2011,71977.89,22149.63,26769.51,-1.55,1.46,75.66,19.34,4.51,19.71,34.45,38.64,27.22,24.23,10557560,7.2
Portugal,2010,71681.47,22498.69,27191.38,1.69,1.53,75.13,19.95,4.55,20.59,30.07,37.71,27.83,22.73,10573100,8.0
Portugal,2009,75492.5,22124.58,26739.24,-3.21,1.58,78.09,19.86,5.13,21.31,27.29,34.2,24.89,20.22,10568247,8.18
Portugal,2008,74433.76,22859.37,27627.28,0.17,1.45,78.64,20.39,5.27,19.77,31.26,40.81,23.19,17.25,10558177,7.89
Portugal,2007,79399.3,22819.5,27579.1,2.31,1.12,79.24,21.15,5.71,19.61,31.19,38.75,23.15,13.06,10542964,8.62
Portugal,2006,81336.95,22305.24,26957.58,1.44,0.95,80.82,21.15,5.68,20.32,30.36,38.19,22.33,9.72,10522288,8.89
Portugal,2005,101594.26,21988.19,26574.4,0.6,0.76,84.12,21.38,6.22,20.99,27.08,35.86,18.07,7.64,10503330,9.34
Portugal,2004,84930.56,21858.12,26417.2,1.55,0.73,82.76,22.24,6.02,20.42,27.67,35.54,19.87,5.45,10483861,9.75
Portugal,2003,89900.2,21525.42,26015.11,-1.3,0.7,81.77,22.63,5.85,20.11,27.37,33.77,22.09,4.26,10458821,9.8
Portugal,2002,88319.25,21809.32,26358.23,0.22,0.72,85.26,23.5,6.41,19.55,27.07,35.23,18.28,4.23,10419631,9.6
Portugal,2001,85398.97,21761.33,26300.22,1.23,0.76,83.39,24.14,6.06,19.25,27.44,37.65,20.83,3.7,10362722,9.21
Portugal,2000,88594.19,21497.5,25981.36,3.09,0.72,84.04,24.46,6.1,18.87,28.2,39.25,20.11,3.56,10289898,8.41
Sweden,2017,,57367.43,47261.3,1.04,3.33,,22.12,,26.07,44.43,41.23,,,10057698,4.8
Sweden,2016,,56776.29,46774.3,1.13,3.27,,21.84,,26.38,43.26,39.6,,,9923085,5.03
Sweden,2015,,56139.49,46249.69,3.32,3.26,25.12,22.09,,25.81,44.29,40.28,53.25,16.75,9799186,5.05
Sweden,2014,,54334.28,44762.49,1.73,3.14,29.77,21.72,4.48,26.16,43.57,40.1,49.69,14.31,9696110,5.16
Sweden,2013,,53408.79,44000.04,0.23,3.3,30.02,21.95,4.67,26.3,42.8,38.81,48.83,13.94,9600379,5.46
Sweden,2012,65767.79,53283.64,43896.93,-1.36,3.28,31.0,22.91,4.94,25.82,45.2,40.65,49.95,11.64,9519374,5.69
Sweden,2011,68780.33,54020.12,44503.67,2.28,3.25,34.21,23.56,5.47,25.0,45.39,40.97,46.49,11.73,9449213,5.81
Sweden,2010,71434.71,52817.44,43512.86,5.29,3.21,34.42,23.8,5.55,25.06,44.73,39.85,45.98,10.58,9378126,6.21
Sweden,2009,65034.07,50164.93,41327.63,-5.05,3.45,31.98,22.3,4.63,26.08,43.54,38.44,47.08,10.21,9298515,6.3
Sweden,2008,69993.28,52832.31,43525.11,-1.02,3.49,33.11,24.35,5.33,24.75,49.17,43.9,44.87,8.23,9219637,6.0
Sweden,2007,71293.17,53374.82,43972.05,2.67,3.25,32.45,25.36,5.25,24.31,47.55,41.86,42.92,7.57,9148092,5.69
Sweden,2006,74171.13,51988.43,42829.89,4.02,3.5,33.41,25.17,5.46,24.8,47.54,41.14,41.13,6.52,9080505,5.78
Sweden,2005,74562.61,49981.3,41176.35,2.49,3.38,33.81,24.83,5.71,25.05,45.05,39.09,39.99,5.32,9029572,5.93
Sweden,2004,77672.93,48769.29,40177.85,3.92,3.39,34.83,24.98,6.06,25.18,42.74,36.19,35.82,5.31,8993531,5.95
Sweden,2003,79443.95,46931.17,38663.54,1.86,3.61,36.52,25.12,6.12,25.87,40.37,35.21,34.91,3.83,8958229,6.06
Sweden,2002,78855.44,46071.99,37955.72,1.86,,37.45,25.54,6.43,25.6,41.18,36.0,36.15,3.26,8924958,5.98
Sweden,2001,77118.8,45228.91,37261.17,1.2,3.91,33.99,25.94,5.75,24.88,42.85,37.77,37.66,2.64,8895960,5.62
Sweden,2000,77926.24,44694.43,36820.84,4.71,,34.83,26.29,5.56,24.67,43.23,38.39,40.01,3.14,8872109,5.35
