country,date,GDP,HouseholdsExpenditurePerecent,FDIInflows,Gov,Exports,Imports
Austria,2017,417282900758.043,52.2149847944523,3.24001826996471,19.4936523309462,54.0376710217349,50.7355052962123
Austria,2016,395227684138.862,52.3062165373714,-7.32219460589675,19.6684934337058,52.4510949085293,48.617590537647
Austria,2015,381817565893.574,52.6828319800756,-2.08889644070062,19.7616905815254,53.0890605587958,49.3382548303838
Austria,2014,441996131736.508,53.3964545942265,0.387373361663698,19.8028420386289,53.3865790462424,50.1169562048263
Austria,2013,430068712971.867,53.6628608793425,0.104891997865552,19.9159427520344,53.4412932967224,50.625120789651
Austria,2012,409425234155.263,53.4598132187912,1.27462102416561,19.8606923693557,53.9736761965302,51.1785012313079
Austria,2011,431120310088.82,53.3797392346776,5.33121321219852,19.89656808887,53.9486708516394,51.154117778086
Austria,2010,391892746544.69,53.5019120190077,-5.61565003443295,20.4925476679965,51.2621603273359,47.7576359096203
Austria,2009,400172297860.517,53.4815650746716,3.57347684121608,20.6842134754264,45.2074165608437,41.8548144134358
Austria,2008,430294287388.311,51.82527578201,1.46438004562603,19.2721309580265,53.2488606164087,48.8248221152974
Austria,2007,388691445387.353,52.0157391082132,17.7173406826104,18.7447920696102,52.560869422371,48.172384639555
Austria,2006,335998557270.104,53.2152497652847,3.12514947791801,19.2582902718553,50.8416688618235,47.2466423435202
Austria,2005,315974418604.651,53.8097269928493,25.6653971470983,19.3462734216739,48.6197522046932,45.4140534786122
Austria,2004,300904221504.842,53.8619546928045,1.0580275788808,18.8913590714454,46.8672149740213,43.9251307189084
Austria,2003,261695778781.038,54.0833777059037,2.36726090513175,18.979639912386,44.57041471914,41.8169676971425
Austria,2002,213377771503.858,53.5399087975834,0.0648363837437951,18.8386965201083,45.31938619858,41.6287818010806
Austria,2001,197337879194.631,54.1111559737332,2.88309298228325,18.9761681528468,44.6175555179483,42.9191092459869
Austria,2000,196799778883.361,53.8667085380556,4.31962550948828,19.2197165554154,43.3462739519887,42.0142216659345
Austria,1999,217185787342.851,53.6318660461991,1.3695647510546,19.8436668661919,39.3570378852981,38.9031024586734
Austria,1998,218259904401.956,54.3040748195245,2.09468407932145,19.5530546720414,38.351021186462,38.5761282051164
Austria,1997,212790348404.555,54.7623256340378,1.25427421892546,19.6007911245516,37.0280827384957,37.8396074770871
Austria,1996,237250948791.266,55.5080319542669,1.82233844744446,19.5657433008979,34.2492761073574,35.8343950133252
Austria,1995,241038283062.645,54.9384897407405,0.757178434060479,19.5896579303121,33.5331403455378,34.7234607571822
Austria,1994,203535242741.838,55.7030948638541,1.01988382817464,19.4443663728491,32.1585338854777,33.8285594524044
Austria,1993,190379720927.481,56.0366601660547,0.590980048987765,19.3004156683679,31.4638980106592,31.8011524808936
Austria,1992,195078126346.106,56.1138907765566,0.761499204305668,18.489911916127,33.1552676574191,34.4748998079566
Austria,1991,173794177725.398,55.4190106754188,0.207141576726935,18.1577959151049,34.5904880807681,35.4579178120841
Austria,1990,166463386663.439,55.9173348879517,0.392278454192605,17.9756735956968,35.6974146503071,35.7909548316155
